DATASET_MULTIBAR
#In multi-value bar charts, each ID is associated to multiple numeric values, which are displayed as a stacked or aligned bar chart
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example multi bar chart

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (if

#field labels

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2,4,6
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
#DATASET_SCALE,2.26-T7 line-#0000ff-5-1-1,4.2-T19 line-#ff0000-1-0-2,5.96-T52 line-#00ff00-5-1-1

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#maximum width
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#align individual fields; if set to 1, individual bar charts will not be stacked
ALIGN_FIELDS,0
FIELD_LABELS,t4,t533,t7,t9,t12,t16,t19,t21,t25,e
FIELD_COLORS,#fde725,#440154,#482173,#433e85,#38588c,#2d708e,#25858e,#1e9b8a,#2ab07f,#52c569

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
ph000,  0,  0,  1.80812758745547,  0,  0,  0,  0,  0,  0,  0
ph001,  2.62716906084185,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph002,  2.14689956034359,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph003,  2.12441085597014,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph005,  2.06716542701711,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph006,  0,  0,  0,  2.38650058193927,  0,  0,  0,  0,  0,  0
ph007,  2.62193464149653,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph008,  0,  0,  0,  0,  0,  0,  4.30226420848321,  0,  0,  0
ph009,  0,  0,  0,  0,  0,  0,  0,  4.38350558426365,  0,  0
ph010,  0,  0,  0,  0,  0,  0,  4.30181625029583,  0,  0,  0
ph011,  0,  0,  1.82456421208983,  0,  0,  0,  0,  0,  0,  0
ph012,  0,  0,  0,  0,  2.83420555702808,  0,  0,  0,  0,  0
ph013,  0,  0,  0,  0,  0,  0,  0,  4.46293573171038,  0,  0
ph014,  3.24591392898127,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph015,  0,  0,  0,  0,  0,  3.46360611005151,  0,  0,  0,  0
ph016,  0,  0,  0,  0,  0,  0,  0,  4.38424844006689,  0,  0
ph017,  0,  0,  0,  0,  0,  0,  4.11206412265379,  0,  0,  0
ph018,  0,  0,  0,  2.39653628364881,  0,  0,  0,  0,  0,  0
ph019,  0,  0,  0,  2.52825874275841,  0,  0,  0,  0,  0,  0
ph020,  0,  0,  1.69292928642903,  0,  0,  0,  0,  0,  0,  0
ph021,  0,  0,  0,  2.47638168756724,  0,  0,  0,  0,  0,  0
ph022,  0,  0,  0,  2.37754025157406,  0,  0,  0,  0,  0,  0
ph023,  2.66547804762624,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph025,  0,  0,  0,  0,  2.91157175172643,  0,  0,  0,  0,  0
ph026,  0,  0,  0,  2.41781876723877,  0,  0,  0,  0,  0,  0
ph028,  0,  0,  0,  2.4523648064487,  0,  0,  0,  0,  0,  0
ph029,  0,  0,  0,  2.42814239097833,  0,  0,  0,  0,  0,  0
ph030,  0,  0,  0,  0,  0,  0,  4.2793412837967,  0,  0,  0
ph031,  2.62897768071102,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph032,  0,  0,  0,  0,  2.96949588859137,  0,  0,  0,  0,  0
ph033,  0,  0,  0,  0,  0,  0,  4.29907977312821,  0,  0,  0
ph034,  0,  1.27373966165007,  0,  0,  0,  0,  0,  0,  0,  0
ph035,  0,  0,  0,  2.51557369549819,  0,  0,  0,  0,  0,  0
ph036,  0,  0,  0,  2.41457531199743,  0,  0,  0,  0,  0,  0
ph037,  0,  0,  0,  0,  3.38057361905111,  0,  0,  0,  0,  0
ph038,  2.07013168077206,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph039,  0,  0,  0,  2.23312111791982,  0,  0,  0,  0,  0,  0
ph040,  0,  0,  0,  0,  0,  0,  0,  0,  0,  4.93566600073458
ph041,  0,  0,  0,  2.39028935493516,  0,  0,  0,  0,  0,  0
ph042,  0,  0,  0,  2.3272921495538,  0,  0,  0,  0,  0,  0
ph043,  0,  0,  0,  0,  0,  3.53569529141896,  0,  0,  0,  0
ph044,  2.05024047373097,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph045,  0,  0,  0,  2.41088377719558,  0,  0,  0,  0,  0,  0
ph046,  0,  0,  0,  2.28699200636493,  0,  0,  0,  0,  0,  0
ph048,  0,  0,  1.93715603846619,  0,  0,  0,  0,  0,  0,  0
ph049,  2.62140722286775,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph050,  0,  0,  0,  0,  0,  0,  0,  0,  4.5789009852193,  0
ph051,  0,  0,  0,  2.33885223914518,  0,  0,  0,  0,  0,  0
ph052,  0,  0,  0,  0,  0,  0,  4.15047844145946,  0,  0,  0
ph053,  0,  0,  0,  0,  0,  0,  0,  4.38095450577958,  0,  0
ph054,  2.19069386653688,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph055,  0,  0,  0,  2.44754613716367,  0,  0,  0,  0,  0,  0
ph056,  0,  0,  0,  0,  2.74383806798219,  0,  0,  0,  0,  0
ph057,  0,  0,  0,  2.44562739548274,  0,  0,  0,  0,  0,  0
ph058,  2.19077286853788,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph060,  0,  0,  0,  2.49726106907876,  0,  0,  0,  0,  0,  0
ph061,  3.24290732212299,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph062,  0,  0,  0,  2.45058443389751,  0,  0,  0,  0,  0,  0
ph064,  3.21883927731628,  0,  0,  0,  0,  0,  0,  0,  0,  0
ph065,  0,  0,  0,  2.2672736022484,  0,  0,  0,  0,  0,  0
ph067,  0,  0,  0,  0,  2.86321989657642,  0,  0,  0,  0,  0
ph068,  0,  0,  1.74249134062781,  0,  0,  0,  0,  0,  0,  0
ph069,  0,  0,  0,  2.29737486052832,  0,  0,  0,  0,  0,  0
ph070,  0,  0,  1.95791459863299,  0,  0,  0,  0,  0,  0,  0
ph071,  0,  0,  0,  0,  2.72868243181607,  0,  0,  0,  0,  0
ph072,  0,  0,  1.7415748474188,  0,  0,  0,  0,  0,  0,  0
ph073,  0,  0,  0,  2.49089097889429,  0,  0,  0,  0,  0,  0
ph075,  0,  0,  0,  0,  2.75478063190594,  0,  0,  0,  0,  0
ph077,  0,  0,  0,  2.36078564490772,  0,  0,  0,  0,  0,  0
ph078,  0,  0,  0,  0,  0,  0,  0,  4.39576546222267,  0,  0
ph080,  0,  0,  0,  0,  2.71408062881048,  0,  0,  0,  0,  0
ph081,  0,  0,  0,  0,  0,  0,  4.07725368235737,  0,  0,  0
ph082,  0,  0,  0,  0,  0,  0,  0,  4.45310598038788,  0,  0
ph083,  0,  0,  0,  0,  0,  0,  4.05161137086315,  0,  0,  0
