Hist block,Mycobacteriophage,T (raw),T (round),Hist block,Lytic,T (raw),T (round),Hist block,Lysogenic,T (raw),T (round),Hist block,Prophages,T (raw),T (round),Hist block,Marine,T (raw),T (round),Hist block,Marine,T (raw),T (round)
20000,15319,3.583,4,15000,14927,3.521,4,10000,6907,2.100,3,10000,9406,2.583,3,5000,2413,1.037,,,,,
20000,15319,3.583,4,15000,14935,3.522,4,15000,11660,2.983,3,15000,13078,3.222,3,5000,2413,1.037,,,,,
20000,15521,3.615,4,15000,14937,3.523,4,15000,14510,3.455,3,15000,14067,3.384,3,5000,2413,1.037,,,,,
20000,15524,3.615,4,15000,14939,3.523,4,15000,14796,3.500,3,15000,14202,3.406,3,5000,2413,1.037,,,,,
20000,15524,3.615,4,15000,14942,3.524,4,15000,14844,3.508,3,15000,14682,3.482,3,5000,2413,1.037,,,,,
20000,15524,3.615,4,15000,14954,3.525,4,15000,14935,3.522,3,20000,17325,3.891,4,5000,2413,1.037,,,,,
20000,15556,3.620,4,20000,16687,3.795,4,15000,14957,3.526,3,20000,17611,3.934,4,5000,2413,1.037,,,,,
20000,15556,3.620,4,20000,16784,3.809,4,20000,15141,3.555,4,20000,17626,3.937,4,5000,2413,1.037,,,,,
20000,15556,3.620,4,20000,18199,4.022,4,20000,15179,3.561,4,20000,17812,3.964,4,5000,2413,1.037,,,,,
20000,15556,3.620,4,20000,18227,4.026,4,20000,15465,3.606,4,20000,17910,3.979,4,5000,2413,1.037,,,,,
20000,15630,3.632,4,20000,18630,4.086,4,20000,15603,3.627,4,20000,18104,4.008,4,5000,2413,1.037,,,,,
20000,15630,3.632,4,20000,19343,4.190,4,20000,15644,3.634,4,20000,18359,4.046,4,5000,2413,1.037,,,,,
20000,15630,3.632,4,20000,19366,4.193,4,20000,16473,3.762,4,20000,18419,4.055,4,5000,2413,1.037,,,,,
20000,17118,3.860,4,25000,21129,4.446,4,20000,17385,3.900,4,20000,18562,4.076,4,5000,2413,1.037,,,,,
20000,17119,3.860,4,25000,22172,4.592,4,25000,20869,4.409,4,20000,19110,4.156,4,5000,2413,1.037,,,,,
30000,28876,5.482,,30000,26111,5.124,,30000,28798,5.472,,20000,19995,4.284,4,5000,2413,1.037,,,,,
30000,29030,5.502,,30000,28451,5.428,,35000,30624,5.703,,25000,20021,4.288,4,5000,2413,1.037,,,,,
30000,29041,5.503,,35000,31754,5.843,,35000,30636,5.704,,25000,20363,4.337,4,5000,2413,1.037,,,,,
30000,29087,5.509,,35000,34704,6.202,7,35000,31508,5.813,,25000,20537,4.362,4,5000,2413,1.037,,,,,
30000,29202,5.524,,35000,34815,6.215,7,35000,32172,5.895,,25000,20576,4.367,4,5000,2413,1.037,,,,,
30000,29214,5.525,,40000,35466,6.293,7,35000,32308,5.911,,25000,20587,4.369,4,5000,2413,1.037,,,,,
30000,29249,5.530,,40000,36466,6.411,7,35000,32355,5.917,,25000,20803,4.400,4,5000,2413,1.037,,,,,
30000,29254,5.530,,40000,36524,6.418,7,35000,32684,5.957,,25000,21369,4.479,4,5000,2413,1.037,,,,,
30000,29324,5.539,,40000,36596,6.427,7,35000,33106,6.009,7,25000,21447,4.490,4,5000,2413,1.037,,,,,
30000,29330,5.540,,40000,36674,6.436,7,35000,33350,6.038,7,25000,21982,4.565,4,5000,2413,1.037,,,,,
30000,29338,5.541,,40000,36798,6.451,7,35000,33507,6.058,7,25000,22042,4.574,4,10000,7238,2.167,3,,,,
30000,29339,5.541,,40000,37359,6.516,7,35000,33593,6.068,7,25000,22065,4.577,4,10000,7238,2.167,3,,,,
30000,29347,5.542,,40000,37370,6.518,7,35000,34419,6.168,7,25000,22310,4.611,4,10000,7238,2.167,3,,,,
30000,29347,5.542,,40000,37555,6.539,7,35000,34692,6.200,7,25000,22355,4.617,4,10000,7238,2.167,3,,,,
30000,29348,5.542,,40000,38208,6.615,7,40000,35450,6.291,7,25000,22813,4.680,4,10000,7238,2.167,3,,,,
30000,29371,5.545,,40000,39503,6.765,7,40000,35538,6.301,7,25000,22996,4.706,4,10000,7238,2.167,3,,,,
30000,29440,5.554,,40000,39600,6.776,7,40000,35580,6.306,7,25000,23785,4.813,4,10000,7238,2.167,3,,,,
30000,29451,5.555,,40000,39704,6.788,7,40000,36615,6.429,7,25000,23878,4.826,4,10000,7238,2.167,3,,,,
30000,29461,5.556,,40000,39807,6.800,7,40000,36717,6.441,7,25000,24223,4.873,4,10000,7238,2.167,3,,,,
30000,29463,5.557,,40000,39898,6.810,7,40000,36748,6.445,7,25000,24481,4.907,4,10000,7238,2.167,3,,,,
30000,29505,5.562,,40000,39937,6.815,7,40000,36949,6.468,7,30000,26388,5.161,,10000,7238,2.167,3,,,,
30000,29506,5.562,,45000,42519,7.107,7,40000,37074,6.483,7,30000,27225,5.270,,10000,7238,2.167,3,,,,
30000,29506,5.562,,45000,43769,7.247,7,40000,37253,6.504,7,30000,28195,5.395,,10000,7238,2.167,3,,,,
30000,29516,5.563,,45000,43785,7.249,7,40000,37611,6.546,7,30000,28563,5.442,,10000,7238,2.167,3,,,,
30000,29516,5.563,,45000,44373,7.314,7,40000,37618,6.547,7,30000,28616,5.449,,10000,7238,2.167,3,,,,
30000,29517,5.564,,50000,45251,7.411,7,40000,37639,6.549,7,30000,28915,5.487,,10000,7238,2.167,3,,,,
30000,29549,5.568,,50000,46012,7.494,7,40000,37667,6.552,7,30000,29213,5.525,,10000,7238,2.167,3,,,,
30000,29574,5.571,,50000,46643,7.563,7,40000,38206,6.615,7,30000,29496,5.561,,10000,7238,2.167,3,,,,
30000,29594,5.573,,50000,47399,7.645,7,40000,38297,6.626,7,35000,30206,5.650,,10000,7238,2.167,3,,,,
