0,1,2,3,4
0.0,28.015,5.2455,5.33,1.0
1.0,49.425,7.8613,0.0,0.0
2.0,35.43,6.201,0.0,0.0
3.0,34.882,6.1325,0.0,0.0
5.0,33.525,5.9615,0.0,0.0
6.0,41.831,6.9802,7.0,1.0
7.0,49.246,7.841,0.0,0.0
8.0,157.834,17.9831,17.33,2.0
9.0,166.977,18.7194,19.0,2.0
10.0,157.785,17.9791,17.33,2.0
11.0,28.336,5.2882,5.33,1.0
12.0,57.052,8.7079,9.0,2.0
13.0,176.428,19.4685,19.0,3.0
14.0,75.894,10.6718,0.0,0.0
15.0,88.255,11.8834,12.0,3.0
16.0,167.063,18.7263,19.0,2.0
17.0,138.339,16.3704,16.0,3.0
18.0,42.123,7.0148,7.0,1.0
19.0,46.15,7.4865,7.0,1.0
20.0,25.865,4.9553,5.33,1.0
21.0,44.52,7.2971,7.0,1.0
22.0,41.572,6.9493,7.0,1.0
23.0,50.755,8.0115,0.0,0.0
25.0,60.195,9.0471,9.0,2.0
26.0,42.749,7.089,7.0,1.0
28.0,43.785,7.211,7.0,1.0
29.0,43.056,7.1252,7.0,1.0
30.0,155.346,17.7806,17.33,2.0
31.0,49.487,7.8684,0.0,0.0
32.0,62.661,9.3098,9.33,2.0
33.0,157.486,17.9548,17.33,2.0
34.0,19.343,4.0285,4.0,2.0
35.0,45.746,7.4397,7.0,1.0
36.0,42.653,7.0776,7.0,1.0
37.0,83.319,11.4059,12.0,2.0
38.0,33.594,5.9703,0.0,0.0
39.0,37.612,6.4708,7.0,1.0
40.0,244.835,24.5896,25.0,3.0
41.0,41.941,6.9932,7.0,1.0
42.0,40.149,6.779,7.0,1.0
43.0,92.777,12.3142,12.0,3.0
44.0,33.134,5.9119,0.0,0.0
45.0,42.544,7.0647,7.0,1.0
46.0,39.043,6.6453,7.0,1.0
48.0,30.636,5.5907,5.33,1.0
49.0,49.228,7.839,0.0,0.0
50.0,191.195,20.6164,21.0,3.0
51.0,40.472,6.8178,7.0,1.0
52.0,142.072,16.684,17.33,3.0
53.0,166.682,18.6959,19.0,2.0
54.0,36.522,6.3366,0.0,0.0
55.0,43.639,7.1939,7.0,1.0
56.0,53.588,8.3277,9.0,1.0
57.0,43.581,7.187,7.0,1.0
58.0,36.524,6.3369,0.0,0.0
60.0,45.169,7.3727,7.0,1.0
61.0,75.736,10.656,0.0,0.0
62.0,43.731,7.2047,7.0,1.0
64.0,74.483,10.5301,0.0,0.0
65.0,38.513,6.5809,7.0,1.0
67.0,58.211,8.8336,9.0,2.0
68.0,26.769,5.0781,5.33,1.0
69.0,39.325,6.6795,7.0,1.0
70.0,31.08,5.6483,5.33,1.0
71.0,53.028,8.2656,9.0,1.0
72.0,26.752,5.0758,5.33,1.0
73.0,44.97,7.3495,7.0,1.0
75.0,53.996,8.3729,9.0,1.0
77.0,41.092,6.8921,7.0,1.0
78.0,168.402,18.8332,19.0,2.0
80.0,52.494,8.2062,9.0,1.0
81.0,135.041,16.0913,16.0,3.0
82.0,175.23,19.3742,19.0,2.0
83.0,132.662,15.8888,16.0,3.0
84.0,42.957,7.1136,7.0,1.0
85.0,38.88,6.6256,7.0,1.0
86.0,74.485,10.5303,0.0,0.0
87.0,137.083,16.2643,16.0,3.0
88.0,37.856,6.5007,7.0,1.0
89.0,142.111,16.6873,17.33,3.0
90.0,37.074,6.4047,7.0,1.0
91.0,33.594,5.9703,0.0,0.0
92.0,33.594,5.9703,0.0,0.0
93.0,348.113,31.5995,31.0,2.0
94.0,170.523,19.0019,19.0,1.0
95.0,51.367,8.0803,0.0,0.0
96.0,167.56,18.766,19.0,2.0
97.0,40.986,6.8794,7.0,1.0
99.0,38.76,6.611,7.0,1.0
100.0,36.632,6.3502,0.0,0.0
101.0,55.832,8.5748,9.0,2.0
102.0,141.836,16.6643,16.0,3.0
103.0,92.495,12.2876,12.0,3.0
104.0,110.569,13.9543,13.0,1.0
105.0,44.041,7.241,7.0,1.0
106.0,156.897,17.9069,17.33,2.0
107.0,74.21,10.5025,0.0,0.0
108.0,38.013,6.5199,7.0,1.0
110.0,42.902,7.1071,7.0,1.0
111.0,218.929,22.7058,21.33,2.0
112.0,62.466,9.2891,9.33,2.0
113.0,28.527,5.3136,5.33,1.0
114.0,35.814,6.2488,0.0,0.0
115.0,34.704,6.1102,0.0,0.0
116.0,37.456,6.4517,7.0,1.0
117.0,246.421,24.703,25.0,3.0
118.0,51.376,8.0813,0.0,0.0
119.0,127.065,15.4081,16.0,2.0
120.0,34.117,6.0364,0.0,0.0
121.0,42.313,7.0374,7.0,1.0
122.0,42.969,7.115,7.0,1.0
123.0,158.1,18.0047,17.33,2.0
124.0,34.553,6.0912,0.0,0.0
125.0,76.217,10.7042,0.0,0.0
126.0,41.834,6.9805,7.0,1.0
127.0,167.266,18.7425,19.0,2.0
129.0,40.19,6.7839,7.0,1.0
130.0,39.651,6.7189,7.0,1.0
131.0,39.012,6.6416,7.0,1.0
132.0,170.523,19.0019,19.0,1.0
133.0,180.5,19.7877,19.0,3.0
134.0,18.199,3.8572,4.0,2.0
135.0,176.227,19.4527,19.0,3.0
136.0,166.977,18.7194,19.0,2.0
137.0,43.301,7.1541,7.0,1.0
138.0,43.378,7.1632,7.0,1.0
139.0,45.942,7.4624,7.0,1.0
140.0,48.502,7.7564,0.0,0.0
141.0,168.47,18.8386,19.0,2.0
142.0,84.201,11.4918,12.0,2.0
144.0,41.294,6.9162,7.0,1.0
145.0,57.315,8.7365,9.0,2.0
146.0,160.221,18.1765,19.0,2.0
147.0,162.91,18.3934,19.0,2.0
148.0,159.991,18.1579,17.33,2.0
149.0,37.236,6.4247,7.0,1.0
150.0,19.282,4.0194,4.0,2.0
151.0,58.663,8.8824,9.0,2.0
152.0,183.806,20.0453,21.0,3.0
153.0,46.547,7.5323,7.0,1.0
154.0,55.213,8.5069,9.0,2.0
155.0,120.938,14.8748,16.0,2.0
156.0,38.194,6.542,7.0,1.0
157.0,43.767,7.2089,7.0,1.0
158.0,137.619,16.3096,16.0,3.0
159.0,43.282,7.1519,7.0,1.0
